CustomerID,Lookalikes
C0038,Customer ID: C0072 with Similarity Score: 0.327007; Customer ID: C0030 with Similarity Score: 0.350736; Customer ID: C0189 with Similarity Score: 0.410594
C0039,Customer ID: C0195 with Similarity Score: 0.341540; Customer ID: C0169 with Similarity Score: 0.530503; Customer ID: C0136 with Similarity Score: 0.548094
C0040,Customer ID: C0066 with Similarity Score: 0.324022; Customer ID: C0168 with Similarity Score: 0.857430; Customer ID: C0185 with Similarity Score: 0.871994
C0041,Customer ID: C0045 with Similarity Score: 0.219731; Customer ID: C0143 with Similarity Score: 0.419123; Customer ID: C0087 with Similarity Score: 0.732357
C0042,Customer ID: C0085 with Similarity Score: 0.942593; Customer ID: C0007 with Similarity Score: 0.981534; Customer ID: C0050 with Similarity Score: 1.081812
C0043,Customer ID: C0071 with Similarity Score: 0.444293; Customer ID: C0077 with Similarity Score: 0.537752; Customer ID: C0025 with Similarity Score: 0.625303
C0044,Customer ID: C0050 with Similarity Score: 0.566708; Customer ID: C0115 with Similarity Score: 0.626998; Customer ID: C0074 with Similarity Score: 0.797760
C0045,Customer ID: C0041 with Similarity Score: 0.219731; Customer ID: C0143 with Similarity Score: 0.331209; Customer ID: C0087 with Similarity Score: 0.652044
C0046,Customer ID: C0012 with Similarity Score: 0.413765; Customer ID: C0143 with Similarity Score: 0.531486; Customer ID: C0122 with Similarity Score: 0.560572
C0047,Customer ID: C0098 with Similarity Score: 0.542418; Customer ID: C0161 with Similarity Score: 0.557528; Customer ID: C0019 with Similarity Score: 0.730159
C0048,Customer ID: C0016 with Similarity Score: 0.607238; Customer ID: C0107 with Similarity Score: 0.766739; Customer ID: C0183 with Similarity Score: 0.829232
C0049,Customer ID: C0147 with Similarity Score: 1.305457; Customer ID: C0161 with Similarity Score: 1.409711; Customer ID: C0034 with Similarity Score: 1.466278
C0050,Customer ID: C0115 with Similarity Score: 0.146197; Customer ID: C0074 with Similarity Score: 0.250654; Customer ID: C0044 with Similarity Score: 0.566708
C0051,Customer ID: C0013 with Similarity Score: 0.418071; Customer ID: C0155 with Similarity Score: 0.558429; Customer ID: C0046 with Similarity Score: 0.614361
C0052,Customer ID: C0166 with Similarity Score: 0.190778; Customer ID: C0035 with Similarity Score: 0.208413; Customer ID: C0177 with Similarity Score: 0.257400
C0053,Customer ID: C0105 with Similarity Score: 0.562350; Customer ID: C0153 with Similarity Score: 0.593368; Customer ID: C0018 with Similarity Score: 0.617499
C0054,Customer ID: C0082 with Similarity Score: 0.709359; Customer ID: C0188 with Similarity Score: 0.864905; Customer ID: C0059 with Similarity Score: 0.952630
C0055,Customer ID: C0174 with Similarity Score: 0.046516; Customer ID: C0106 with Similarity Score: 0.233299; Customer ID: C0189 with Similarity Score: 0.314441
C0056,Customer ID: C0137 with Similarity Score: 0.362345; Customer ID: C0191 with Similarity Score: 0.440851; Customer ID: C0107 with Similarity Score: 0.446151
C0057,Customer ID: C0105 with Similarity Score: 0.250143; Customer ID: C0153 with Similarity Score: 0.276108; Customer ID: C0022 with Similarity Score: 0.305441
C0058,Customer ID: C0015 with Similarity Score: 1.245550; Customer ID: C0128 with Similarity Score: 1.418862; Customer ID: C0130 with Similarity Score: 1.636930
C0059,Customer ID: C0188 with Similarity Score: 0.466345; Customer ID: C0104 with Similarity Score: 0.510523; Customer ID: C0099 with Similarity Score: 0.645844
C0060,Customer ID: C0033 with Similarity Score: 0.420075; Customer ID: C0151 with Similarity Score: 0.716665; Customer ID: C0097 with Similarity Score: 1.415467
C0061,Customer ID: C0005 with Similarity Score: 0.226257; Customer ID: C0167 with Similarity Score: 0.411964; Customer ID: C0131 with Similarity Score: 0.451630
C0062,Customer ID: C0036 with Similarity Score: 0.396300; Customer ID: C0197 with Similarity Score: 0.492340; Customer ID: C0112 with Similarity Score: 0.512615
C0063,Customer ID: C0095 with Similarity Score: 0.225665; Customer ID: C0112 with Similarity Score: 0.761094; Customer ID: C0036 with Similarity Score: 0.809399
C0064,Customer ID: C0183 with Similarity Score: 0.255969; Customer ID: C0037 with Similarity Score: 0.276877; Customer ID: C0011 with Similarity Score: 0.312423
C0065,Customer ID: C0156 with Similarity Score: 0.603364; Customer ID: C0175 with Similarity Score: 1.038905; Customer ID: C0028 with Similarity Score: 1.204025
C0066,Customer ID: C0040 with Similarity Score: 0.324022; Customer ID: C0185 with Similarity Score: 0.667495; Customer ID: C0196 with Similarity Score: 0.950161
C0067,Customer ID: C0126 with Similarity Score: 0.477779; Customer ID: C0022 with Similarity Score: 0.536954; Customer ID: C0179 with Similarity Score: 0.552398
C0068,Customer ID: C0101 with Similarity Score: 0.487986; Customer ID: C0004 with Similarity Score: 0.533835; Customer ID: C0173 with Similarity Score: 0.566251
C0069,Customer ID: C0191 with Similarity Score: 0.202957; Customer ID: C0164 with Similarity Score: 0.221220; Customer ID: C0137 with Similarity Score: 0.493419
C0070,Customer ID: C0193 with Similarity Score: 0.324937; Customer ID: C0135 with Similarity Score: 0.433685; Customer ID: C0092 with Similarity Score: 0.452892
C0071,Customer ID: C0043 with Similarity Score: 0.444293; Customer ID: C0025 with Similarity Score: 0.575297; Customer ID: C0062 with Similarity Score: 0.613300
C0072,Customer ID: C0190 with Similarity Score: 0.230889; Customer ID: C0038 with Similarity Score: 0.327007; Customer ID: C0055 with Similarity Score: 0.357577
C0073,Customer ID: C0159 with Similarity Score: 0.333466; Customer ID: C0197 with Similarity Score: 0.418458; Customer ID: C0132 with Similarity Score: 0.472599
C0074,Customer ID: C0115 with Similarity Score: 0.191311; Customer ID: C0050 with Similarity Score: 0.250654; Customer ID: C0185 with Similarity Score: 0.580882
C0075,Customer ID: C0165 with Similarity Score: 0.728530; Customer ID: C0175 with Similarity Score: 0.850274; Customer ID: C0004 with Similarity Score: 1.021952
C0076,Customer ID: C0086 with Similarity Score: 0.578506; Customer ID: C0088 with Similarity Score: 0.580047; Customer ID: C0069 with Similarity Score: 0.608871
C0077,Customer ID: C0032 with Similarity Score: 0.438033; Customer ID: C0043 with Similarity Score: 0.537752; Customer ID: C0094 with Similarity Score: 0.622517
C0078,Customer ID: C0042 with Similarity Score: 2.014383; Customer ID: C0044 with Similarity Score: 2.021324; Customer ID: C0050 with Similarity Score: 2.293909
C0079,Customer ID: C0006 with Similarity Score: 0.387098; Customer ID: C0158 with Similarity Score: 0.856685; Customer ID: C0117 with Similarity Score: 0.906863
C0080,Customer ID: C0020 with Similarity Score: 0.545313; Customer ID: C0140 with Similarity Score: 1.048595; Customer ID: C0110 with Similarity Score: 1.477853
C0081,Customer ID: C0179 with Similarity Score: 0.336662; Customer ID: C0181 with Similarity Score: 0.476216; Customer ID: C0194 with Similarity Score: 0.533015
C0082,Customer ID: C0054 with Similarity Score: 0.709359; Customer ID: C0059 with Similarity Score: 1.041509; Customer ID: C0188 with Similarity Score: 1.102375
C0083,Customer ID: C0032 with Similarity Score: 0.259419; Customer ID: C0077 with Similarity Score: 0.670272; Customer ID: C0043 with Similarity Score: 0.810844
C0084,Customer ID: C0008 with Similarity Score: 0.556355; Customer ID: C0017 with Similarity Score: 0.667901; Customer ID: C0113 with Similarity Score: 0.750625
C0085,Customer ID: C0007 with Similarity Score: 0.165470; Customer ID: C0074 with Similarity Score: 0.810480; Customer ID: C0120 with Similarity Score: 0.843384
C0086,Customer ID: C0106 with Similarity Score: 0.265359; Customer ID: C0160 with Similarity Score: 0.337239; Customer ID: C0174 with Similarity Score: 0.371392
C0087,Customer ID: C0143 with Similarity Score: 0.603769; Customer ID: C0045 with Similarity Score: 0.652044; Customer ID: C0028 with Similarity Score: 0.699172
C0088,Customer ID: C0031 with Similarity Score: 0.559562; Customer ID: C0019 with Similarity Score: 0.568312; Customer ID: C0157 with Similarity Score: 0.568760
C0089,Customer ID: C0185 with Similarity Score: 0.995292; Customer ID: C0066 with Similarity Score: 1.126850; Customer ID: C0040 with Similarity Score: 1.194279
C0090,Customer ID: C0194 with Similarity Score: 0.392734; Customer ID: C0124 with Similarity Score: 0.562471; Customer ID: C0108 with Similarity Score: 0.610796
C0091,Customer ID: C0034 with Similarity Score: 0.880883; Customer ID: C0134 with Similarity Score: 0.896894; Customer ID: C0111 with Similarity Score: 1.191272
C0092,Customer ID: C0135 with Similarity Score: 0.141992; Customer ID: C0125 with Similarity Score: 0.220300; Customer ID: C0133 with Similarity Score: 0.238121
C0093,Customer ID: C0162 with Similarity Score: 0.607427; Customer ID: C0101 with Similarity Score: 0.672982; Customer ID: C0145 with Similarity Score: 0.820558
C0094,Customer ID: C0077 with Similarity Score: 0.622517; Customer ID: C0025 with Similarity Score: 0.645242; Customer ID: C0121 with Similarity Score: 0.698473
C0095,Customer ID: C0063 with Similarity Score: 0.225665; Customer ID: C0036 with Similarity Score: 0.762270; Customer ID: C0112 with Similarity Score: 0.787597
C0096,Customer ID: C0138 with Similarity Score: 0.661105; Customer ID: C0114 with Similarity Score: 0.763191; Customer ID: C0168 with Similarity Score: 1.076516
C0097,Customer ID: C0014 with Similarity Score: 0.846777; Customer ID: C0033 with Similarity Score: 1.037760; Customer ID: C0151 with Similarity Score: 1.323067
C0098,Customer ID: C0161 with Similarity Score: 0.396869; Customer ID: C0047 with Similarity Score: 0.542418; Customer ID: C0139 with Similarity Score: 0.677686
C0099,Customer ID: C0104 with Similarity Score: 0.261330; Customer ID: C0188 with Similarity Score: 0.323687; Customer ID: C0102 with Similarity Score: 0.517377
C0100,Customer ID: C0023 with Similarity Score: 0.606125; Customer ID: C0155 with Similarity Score: 0.758342; Customer ID: C0051 with Similarity Score: 0.885277
C0101,Customer ID: C0145 with Similarity Score: 0.317246; Customer ID: C0173 with Similarity Score: 0.317586; Customer ID: C0068 with Similarity Score: 0.487986
C0102,Customer ID: C0173 with Similarity Score: 0.317424; Customer ID: C0145 with Similarity Score: 0.333497; Customer ID: C0099 with Similarity Score: 0.517377
C0103,Customer ID: C0192 with Similarity Score: 0.718373; Customer ID: C0069 with Similarity Score: 0.834681; Customer ID: C0146 with Similarity Score: 0.838252
C0104,Customer ID: C0099 with Similarity Score: 0.261330; Customer ID: C0188 with Similarity Score: 0.421388; Customer ID: C0059 with Similarity Score: 0.510523
C0105,Customer ID: C0057 with Similarity Score: 0.250143; Customer ID: C0153 with Similarity Score: 0.256135; Customer ID: C0022 with Similarity Score: 0.368804
C0106,Customer ID: C0160 with Similarity Score: 0.170769; Customer ID: C0174 with Similarity Score: 0.204573; Customer ID: C0055 with Similarity Score: 0.233299
C0107,Customer ID: C0183 with Similarity Score: 0.247262; Customer ID: C0011 with Similarity Score: 0.262842; Customer ID: C0137 with Similarity Score: 0.408650
C0108,Customer ID: C0122 with Similarity Score: 0.547239; Customer ID: C0057 with Similarity Score: 0.558176; Customer ID: C0012 with Similarity Score: 0.603242
C0109,Customer ID: C0075 with Similarity Score: 1.338573; Customer ID: C0175 with Similarity Score: 1.546082; Customer ID: C0165 with Similarity Score: 1.572320
C0110,Customer ID: C0140 with Similarity Score: 1.030689; Customer ID: C0020 with Similarity Score: 1.050483; Customer ID: C0063 with Similarity Score: 1.250790
C0111,Customer ID: C0010 with Similarity Score: 0.929739; Customer ID: C0134 with Similarity Score: 0.943163; Customer ID: C0091 with Similarity Score: 1.191272
C0112,Customer ID: C0036 with Similarity Score: 0.362323; Customer ID: C0197 with Similarity Score: 0.375295; Customer ID: C0062 with Similarity Score: 0.512615
C0113,Customer ID: C0017 with Similarity Score: 0.183645; Customer ID: C0004 with Similarity Score: 0.527378; Customer ID: C0162 with Similarity Score: 0.602047
C0114,Customer ID: C0138 with Similarity Score: 0.299074; Customer ID: C0148 with Similarity Score: 0.473225; Customer ID: C0096 with Similarity Score: 0.763191
C0115,Customer ID: C0050 with Similarity Score: 0.146197; Customer ID: C0074 with Similarity Score: 0.191311; Customer ID: C0185 with Similarity Score: 0.475156
C0116,Customer ID: C0127 with Similarity Score: 0.531409; Customer ID: C0118 with Similarity Score: 0.658998; Customer ID: C0076 with Similarity Score: 0.680450
C0117,Customer ID: C0006 with Similarity Score: 0.536220; Customer ID: C0026 with Similarity Score: 0.621002; Customer ID: C0037 with Similarity Score: 0.874207
C0118,Customer ID: C0127 with Similarity Score: 0.266163; Customer ID: C0154 with Similarity Score: 0.323026; Customer ID: C0056 with Similarity Score: 0.641200
C0119,Customer ID: C0157 with Similarity Score: 0.961797; Customer ID: C0025 with Similarity Score: 0.968493; Customer ID: C0094 with Similarity Score: 1.013391
C0120,Customer ID: C0167 with Similarity Score: 0.337067; Customer ID: C0129 with Similarity Score: 0.550000; Customer ID: C0135 with Similarity Score: 0.629164
C0121,Customer ID: C0094 with Similarity Score: 0.698473; Customer ID: C0077 with Similarity Score: 0.979163; Customer ID: C0032 with Similarity Score: 1.208933
C0122,Customer ID: C0012 with Similarity Score: 0.476354; Customer ID: C0108 with Similarity Score: 0.547239; Customer ID: C0046 with Similarity Score: 0.560572
C0123,Customer ID: C0061 with Similarity Score: 0.706077; Customer ID: C0005 with Similarity Score: 0.769740; Customer ID: C0130 with Similarity Score: 0.863230
C0124,Customer ID: C0090 with Similarity Score: 0.562471; Customer ID: C0162 with Similarity Score: 0.577878; Customer ID: C0108 with Similarity Score: 0.684467
C0125,Customer ID: C0092 with Similarity Score: 0.220300; Customer ID: C0133 with Similarity Score: 0.239097; Customer ID: C0135 with Similarity Score: 0.288180
C0126,Customer ID: C0022 with Similarity Score: 0.418197; Customer ID: C0067 with Similarity Score: 0.477779; Customer ID: C0064 with Similarity Score: 0.575297
C0127,Customer ID: C0118 with Similarity Score: 0.266163; Customer ID: C0154 with Similarity Score: 0.489317; Customer ID: C0116 with Similarity Score: 0.531409
C0128,Customer ID: C0009 with Similarity Score: 0.602347; Customer ID: C0150 with Similarity Score: 0.984984; Customer ID: C0198 with Similarity Score: 1.026979
C0129,Customer ID: C0167 with Similarity Score: 0.405297; Customer ID: C0073 with Similarity Score: 0.484953; Customer ID: C0159 with Similarity Score: 0.499286
C0130,Customer ID: C0150 with Similarity Score: 0.175616; Customer ID: C0123 with Similarity Score: 0.863230; Customer ID: C0015 with Similarity Score: 1.022020
C0131,Customer ID: C0186 with Similarity Score: 0.285683; Customer ID: C0005 with Similarity Score: 0.338108; Customer ID: C0061 with Similarity Score: 0.451630
C0132,Customer ID: C0159 with Similarity Score: 0.389061; Customer ID: C0036 with Similarity Score: 0.458617; Customer ID: C0073 with Similarity Score: 0.472599
C0133,Customer ID: C0092 with Similarity Score: 0.238121; Customer ID: C0125 with Similarity Score: 0.239097; Customer ID: C0135 with Similarity Score: 0.348280
C0134,Customer ID: C0034 with Similarity Score: 0.674790; Customer ID: C0038 with Similarity Score: 0.697890; Customer ID: C0072 with Similarity Score: 0.851037
C0135,Customer ID: C0092 with Similarity Score: 0.141992; Customer ID: C0125 with Similarity Score: 0.288180; Customer ID: C0133 with Similarity Score: 0.348280
C0136,Customer ID: C0169 with Similarity Score: 0.277990; Customer ID: C0039 with Similarity Score: 0.548094; Customer ID: C0195 with Similarity Score: 0.843466
C0137,Customer ID: C0001 with Similarity Score: 0.221404; Customer ID: C0164 with Similarity Score: 0.337808; Customer ID: C0191 with Similarity Score: 0.345171
C0138,Customer ID: C0114 with Similarity Score: 0.299074; Customer ID: C0148 with Similarity Score: 0.573620; Customer ID: C0171 with Similarity Score: 0.646096
C0139,Customer ID: C0024 with Similarity Score: 0.542651; Customer ID: C0098 with Similarity Score: 0.677686; Customer ID: C0184 with Similarity Score: 0.782098
C0140,Customer ID: C0020 with Similarity Score: 0.826679; Customer ID: C0120 with Similarity Score: 1.007886; Customer ID: C0167 with Similarity Score: 1.027496
C0141,Customer ID: C0054 with Similarity Score: 1.961207; Customer ID: C0082 with Similarity Score: 2.325674; Customer ID: C0059 with Similarity Score: 2.540249
C0142,Customer ID: C0002 with Similarity Score: 0.528165; Customer ID: C0029 with Similarity Score: 0.601447; Customer ID: C0038 with Similarity Score: 0.629975
C0143,Customer ID: C0045 with Similarity Score: 0.331209; Customer ID: C0041 with Similarity Score: 0.419123; Customer ID: C0046 with Similarity Score: 0.531486
C0144,Customer ID: C0112 with Similarity Score: 0.824109; Customer ID: C0063 with Similarity Score: 0.849541; Customer ID: C0095 with Similarity Score: 0.914674
C0145,Customer ID: C0173 with Similarity Score: 0.033798; Customer ID: C0101 with Similarity Score: 0.317246; Customer ID: C0102 with Similarity Score: 0.333497
C0146,Customer ID: C0125 with Similarity Score: 0.654707; Customer ID: C0131 with Similarity Score: 0.683420; Customer ID: C0186 with Similarity Score: 0.743238
C0147,Customer ID: C0161 with Similarity Score: 0.553587; Customer ID: C0098 with Similarity Score: 0.746623; Customer ID: C0047 with Similarity Score: 1.044236
C0148,Customer ID: C0114 with Similarity Score: 0.473225; Customer ID: C0138 with Similarity Score: 0.573620; Customer ID: C0171 with Similarity Score: 0.622435
C0149,Customer ID: C0037 with Similarity Score: 0.364260; Customer ID: C0200 with Similarity Score: 0.464397; Customer ID: C0064 with Similarity Score: 0.538590
C0150,Customer ID: C0130 with Similarity Score: 0.175616; Customer ID: C0123 with Similarity Score: 0.883905; Customer ID: C0128 with Similarity Score: 0.984984
C0151,Customer ID: C0033 with Similarity Score: 0.528095; Customer ID: C0060 with Similarity Score: 0.716665; Customer ID: C0097 with Similarity Score: 1.323067
C0152,Customer ID: C0164 with Similarity Score: 0.333537; Customer ID: C0137 with Similarity Score: 0.355254; Customer ID: C0001 with Similarity Score: 0.365747
C0153,Customer ID: C0105 with Similarity Score: 0.256135; Customer ID: C0057 with Similarity Score: 0.276108; Customer ID: C0022 with Similarity Score: 0.353866
C0154,Customer ID: C0118 with Similarity Score: 0.323026; Customer ID: C0127 with Similarity Score: 0.489317; Customer ID: C0056 with Similarity Score: 0.572370
C0155,Customer ID: C0051 with Similarity Score: 0.558429; Customer ID: C0013 with Similarity Score: 0.649737; Customer ID: C0100 with Similarity Score: 0.758342
C0156,Customer ID: C0065 with Similarity Score: 0.603364; Customer ID: C0175 with Similarity Score: 1.086128; Customer ID: C0165 with Similarity Score: 1.641589
C0157,Customer ID: C0172 with Similarity Score: 0.516398; Customer ID: C0088 with Similarity Score: 0.568760; Customer ID: C0029 with Similarity Score: 0.572963
C0158,Customer ID: C0074 with Similarity Score: 0.712536; Customer ID: C0050 with Similarity Score: 0.751825; Customer ID: C0187 with Similarity Score: 0.765170
C0159,Customer ID: C0073 with Similarity Score: 0.333466; Customer ID: C0197 with Similarity Score: 0.377168; Customer ID: C0132 with Similarity Score: 0.389061
C0160,Customer ID: C0106 with Similarity Score: 0.170769; Customer ID: C0190 with Similarity Score: 0.224996; Customer ID: C0174 with Similarity Score: 0.334176
C0161,Customer ID: C0098 with Similarity Score: 0.396869; Customer ID: C0147 with Similarity Score: 0.553587; Customer ID: C0047 with Similarity Score: 0.557528
C0162,Customer ID: C0017 with Similarity Score: 0.465029; Customer ID: C0124 with Similarity Score: 0.577878; Customer ID: C0113 with Similarity Score: 0.602047
C0163,Customer ID: C0053 with Similarity Score: 0.727397; Customer ID: C0148 with Similarity Score: 0.769628; Customer ID: C0013 with Similarity Score: 0.771933
C0164,Customer ID: C0191 with Similarity Score: 0.205136; Customer ID: C0069 with Similarity Score: 0.221220; Customer ID: C0152 with Similarity Score: 0.333537
C0165,Customer ID: C0075 with Similarity Score: 0.728530; Customer ID: C0175 with Similarity Score: 1.273507; Customer ID: C0065 with Similarity Score: 1.325826
C0166,Customer ID: C0052 with Similarity Score: 0.190778; Customer ID: C0027 with Similarity Score: 0.320110; Customer ID: C0035 with Similarity Score: 0.328585
C0167,Customer ID: C0120 with Similarity Score: 0.337067; Customer ID: C0129 with Similarity Score: 0.405297; Customer ID: C0061 with Similarity Score: 0.411964
C0168,Customer ID: C0196 with Similarity Score: 0.222840; Customer ID: C0040 with Similarity Score: 0.857430; Customer ID: C0066 with Similarity Score: 0.958892
C0169,Customer ID: C0136 with Similarity Score: 0.277990; Customer ID: C0039 with Similarity Score: 0.530503; Customer ID: C0195 with Similarity Score: 0.869189
C0170,Customer ID: C0171 with Similarity Score: 0.220415; Customer ID: C0200 with Similarity Score: 0.479353; Customer ID: C0148 with Similarity Score: 0.770180
C0171,Customer ID: C0170 with Similarity Score: 0.220415; Customer ID: C0200 with Similarity Score: 0.557862; Customer ID: C0148 with Similarity Score: 0.622435
C0172,Customer ID: C0019 with Similarity Score: 0.505467; Customer ID: C0157 with Similarity Score: 0.516398; Customer ID: C0088 with Similarity Score: 0.626544
C0173,Customer ID: C0145 with Similarity Score: 0.033798; Customer ID: C0102 with Similarity Score: 0.317424; Customer ID: C0101 with Similarity Score: 0.317586
C0174,Customer ID: C0055 with Similarity Score: 0.046516; Customer ID: C0106 with Similarity Score: 0.204573; Customer ID: C0160 with Similarity Score: 0.334176
C0175,Customer ID: C0075 with Similarity Score: 0.850274; Customer ID: C0065 with Similarity Score: 1.038905; Customer ID: C0156 with Similarity Score: 1.086128
C0176,Customer ID: C0003 with Similarity Score: 0.723817; Customer ID: C0112 with Similarity Score: 0.870506; Customer ID: C0197 with Similarity Score: 0.910960
C0177,Customer ID: C0052 with Similarity Score: 0.257400; Customer ID: C0166 with Similarity Score: 0.393918; Customer ID: C0035 with Similarity Score: 0.413987
C0178,Customer ID: C0035 with Similarity Score: 0.223414; Customer ID: C0052 with Similarity Score: 0.380837; Customer ID: C0177 with Similarity Score: 0.482440
C0179,Customer ID: C0181 with Similarity Score: 0.329493; Customer ID: C0081 with Similarity Score: 0.336662; Customer ID: C0067 with Similarity Score: 0.552398
C0181,Customer ID: C0179 with Similarity Score: 0.329493; Customer ID: C0081 with Similarity Score: 0.476216; Customer ID: C0194 with Similarity Score: 0.625963
C0182,Customer ID: C0018 with Similarity Score: 0.352740; Customer ID: C0200 with Similarity Score: 0.458641; Customer ID: C0149 with Similarity Score: 0.674142
C0183,Customer ID: C0011 with Similarity Score: 0.217819; Customer ID: C0107 with Similarity Score: 0.247262; Customer ID: C0064 with Similarity Score: 0.255969
C0184,Customer ID: C0127 with Similarity Score: 0.571515; Customer ID: C0118 with Similarity Score: 0.704210; Customer ID: C0024 with Similarity Score: 0.777757
